Rank,2025-05-06 After Poules,2025-05-06 After DEs,2025-05-13 After Poules,2025-05-13 After DEs,2025-05-20 After Poules,2025-05-20 After DEs,2025-05-27 After Poules,2025-05-27 After DEs,2025-06-03 After Poules,2025-06-03 After DEs,2025-06-10 After Poules,2025-06-10 After DEs,2025-06-17 After Poules,2025-06-17 After DEs,2025-06-24 After Poules,2025-06-24 After DEs,2025-07-01 After Poules,2025-07-01 After DEs,2025-07-08 After Poules,2025-07-08 After DEs,2025-07-15 After Poules,2025-07-15 After DEs,2025-09-01 After Poules,2025-09-01 After DEs,2025-09-09 After Poules,2025-09-09 After DEs,2025-09-16 After Poules,2025-09-16 After DEs,2025-09-23 After Poules,2025-09-23 After DEs,2025-09-30 After Poules,2025-09-30 After DEs,2025-10-07 After Poules,2025-10-07 After DEs,2025-10-14 After Poules,2025-10-14 After DEs,2025-10-21 After Poules,2025-10-21 After DEs,2025-10-28 After Poules,2025-10-28 After DEs,2025-11-04 After Poules,2025-11-04 After DEs,2025-11-10 After Poules,2025-11-10 After DEs,2025-11-18 After Poules,2025-11-18 After DEs,2025-11-25 After Poules,2025-11-25 After DEs,2025-12-02 After Poules,2025-12-02 After DEs,2025-12-09 After Poules,2025-12-09 After DEs,2025-12-16 After Poules,2025-12-16 After DEs,2026-01-06 After Poules,2026-01-06 After DEs,2026-01-13 After Poules,2026-01-13 After DEs,2026-01-20 After Poules,2026-01-20 After DEs,2026-01-27 After Poules,2026-01-27 After DEs,2026-02-03 After Poules,2026-02-03 After DEs,2026-02-10 After Poules,2026-02-10 After DEs,2026-02-17 After Poules,2026-02-17 After DEs,2026-02-24 After Poules,2026-02-24 After DEs,2026-03-03 After Poules,2026-03-03 After DEs,2026-03-10 After Poules,2026-03-10 After DEs,2026-03-17 After Poules,2026-03-17 After DEs,2026-03-24 After Poules,2026-03-24 After DEs,2026-04-14 After Poules,2026-04-14 After DEs,2026-04-21 After Poules,2026-04-21 After DEs,2026-04-28 After Poules,2026-04-28 After DEs,2026-05-05 After Poules,2026-05-05 After DEs
50,,,,,,,,,,,,,Nat (1570.2),Nat (1570.2),Flavia (1605.5),Flavia (1605.5),Andy R (1623.5),Andy R (1623.5),Lance (1677.2),Lance (1677.2),Marg (1674.1) (-15.7),Marg (1674.1),Lance (1677.2),Lance (1677.2),Lucas H (1694.1),Lucas H (1694.1),Marinko (1691.1) (-4.8),Marinko (1685.7) (-5.4),Lucas H (1694.1),Lucas H (1694.1),Alberto (1712.4),Alberto (1712.4),Maiya (1714.6),Maiya (1714.6),Jenna (1733.6),Caden (1721.4) (-62.3),Alonzo (1729.2),Will P (1730.8) (-23.7),Will P (1740.9) (+10.1),Giles (1740.5),Colin R (1746.3) (-6.5),Steph (1752.3) (-21.5),Patrick L (1762.6),Alix S (1763.5),Alix S (1763.5),Shevy (1767.4) (-28.6),Miriam (1774.3),Miriam (1774.3),Caden (1779.0),Caden (1779.0),Steffi (1779.0),Rakan (1779.8),Rakan (1779.8),Rakan (1779.8),Rakan (1779.8),Rakan (1779.8),Enrik (1787.3),Rakan (1779.8),Rakan (1779.8),Caden (1781.0) (+51.7),Anna Z (1784.9),Enrik (1787.3),Enrik (1787.3),Enrik (1787.3),Jonathan (1787.5),Jonathan (1787.5),Jonathan (1787.5),Purse (1780.5),Jonathan (1787.5),Enrik (1787.3),Richard B (1789.1) (-11.0),Enrik (1787.3),Jonathan (1787.5),Jonathan (1787.5),Jonathan (1787.5),Jonathan (1787.5),Maxim (1791.4),Maxim (1791.4),Colin R (1801.4),Nick (1797.6),Nicholas (1805.8),Adrian L (1801.9),Max V (1807.4) (-15.3),Adrian (1809.2),Will P (1805.5) (-4.2),Tom S (1804.2) (-23.0)
51,,,,,,,,,,,,,,,Nat (1570.2),Nat (1570.2),Flavia (1605.5),Flavia (1605.5),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Marg (1663.7) (-10.4),Marg (1663.7),Lance (1677.2),Lance (1677.2),Lance (1677.2),Lance (1677.2),Lance (1677.2),Lance (1677.2),Chrissy (1701.4),Rakan (1707.3) (-67.0),Alberto (1712.4),Alberto (1712.4),Jana (1721.7),Aisling (1720.9),Jana (1721.7),Alonzo (1729.2),Giles (1740.5),Giulia (1736.3),Giles (1740.5),Aisling (1747.8),Dan (1762.3),Patrick L (1762.6),Patrick L (1762.6),Alix S (1763.5),Duncan (1773.8),Duncan (1773.8),Etienne (1774.5),Etienne (1774.5),Etienne (1774.5),Steffi (1779.0),Steffi (1779.0),Steffi (1779.0),Steffi (1779.0),Steffi (1779.0),Rakan (1779.8),Steffi (1779.0),Steffi (1779.0),Rakan (1779.8),Rakan (1779.8),Anna Z (1784.9),Julia T (1786.4) (-36.3),Julia T (1786.4),Enrik (1787.3),Enrik (1787.3),Enrik (1787.3),Rakan (1779.8),Enrik (1787.3),Purse (1780.5),Jonathan (1787.5),Aisling (1786.9) (-53.3),Enrik (1787.3),Enrik (1787.3),Enrik (1787.3),Enrik (1787.3),Jonathan (1787.5),Jonathan (1787.5),Nick (1797.6),Pablo (1795.7),Adrian L (1801.9),Vova (1801.9),Nicholas (1805.8),Nicholas (1805.8),Shevy (1802.4),Shevy (1802.4)
52,,,,,,,,,,,,,,,,,Nat (1570.2),Nat (1570.2),Andy R (1632.1) (+8.6),Flavia (1605.5),Flavia (1605.5),Flavia (1605.5),Lucas (1662.7),Lucas (1662.7),Marg (1664.7) (+1.0),Marg (1664.7),Marg (1668.0) (+3.3),Marg (1668.0),Marinko (1672.5) (-13.2),Lucas (1662.7),Lucas H (1694.1),Chrissy (1701.4),Rakan (1707.3),Rakan (1707.3),Aisling (1720.9),Marinko (1720.1),Caden (1721.4),Jana (1721.7),Aisling (1738.6) (+17.7),Feddy (1735.7) (-19.3),Giulia (1736.3),Giles (1740.5),Luka (1757.5),Dan (1762.3),Dan (1762.3),Patrick L (1762.6),Bowen (1772.8),Bowen (1772.8),Miriam (1774.3),Miriam (1774.3),Miriam (1774.3),Etienne (1774.5),Etienne (1774.5),Etienne (1774.5),Etienne (1774.5),Etienne (1774.5),Steffi (1779.0),Etienne (1774.5),Etienne (1774.5),Steffi (1779.0),Steffi (1779.0),Rakan (1779.8),Rakan (1779.8),Rakan (1779.8),Rakan (1779.8),Rakan (1779.8),Purse (1780.5),Steffi (1779.0),Will P (1784.3) (+21.8),Rakan (1779.8),Enrik (1787.3),Colin R (1785.9) (-51.2),Aisling (1786.9),Aisling (1786.9),Aisling (1786.9),Aisling (1786.9),Enrik (1787.3),Enrik (1787.3),Pablo (1795.7),Richard B (1794.9) (-25.3),Vova (1801.9),Nick (1797.6),Shevy (1802.4),Shevy (1802.4),Adrian L (1801.9),Adrian L (1801.9)
53,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Andy R (1598.4) (-33.7),Andy R (1598.4),Andy R (1598.4),Andy R (1612.7) (+14.3),Flavia (1605.5),Perth (1662.7) (-32.4),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Lucas (1662.7),Marinko (1659.1) (-13.4),Marinko (1677.4) (+18.3),Lucas H (1694.1),Marg (1707.1) (+55.2),Marg (1707.1),Marinko (1720.1),Eugene (1716.3) (+15.0),Aisling (1720.9),Caden (1721.4),Giulia (1736.3),Jenna (1733.6),Feddy (1735.7),Giulia (1736.3),Giles (1740.5),Luka (1757.5),Luka (1757.5),Dan (1762.3),Aisling (1771.6),Aisling (1771.6),Duncan (1773.8),Duncan (1773.8),Duncan (1773.8),Miriam (1774.3),Duncan (1773.8),Duncan (1773.8),Duncan (1773.8),Duncan (1773.8),Etienne (1774.5),Duncan (1773.8),Duncan (1773.8),Etienne (1774.5),Etienne (1774.5),Steffi (1779.0),Steffi (1779.0),Steffi (1779.0),Steffi (1779.0),Steffi (1779.0),Rakan (1779.8),Steph (1775.9),Purse (1780.5),Steffi (1779.0),Purse (1780.5),Max (1784.4) (+15.4),Colin R (1785.5) (-0.4),Lukas N (1786.8) (-5.0),Lukas N (1786.8),Lukas N (1786.8),Aisling (1786.9),Aisling (1786.9),Maxim (1791.4),Maxim (1791.4),Nick (1797.6),Colin R (1796.4) (-10.9),Adrian L (1801.9),Adrian L (1801.9),Vova (1801.9),Vova (1801.9)
54,,,,,,,,,,,,,,,,,,,Nat (1570.2),Nat (1570.2),Nat (1570.2),Nat (1570.2),Flavia (1605.5),Andy R (1593.7) (-19.0),Lucas (1662.7),Perth (1638.7) (-24.0),Perth (1638.7),Perth (1638.7),Marg (1651.9) (-16.1),Marg (1651.9),Lance (1677.2),Lance (1677.2),Chrissy (1701.4),Chrissy (1701.4),Megan (1714.7),Megan (1714.7),Marinko (1720.1),Aisling (1720.9),Jenna (1733.6),Alonzo (1729.2),Jenna (1733.6),Feddy (1735.7),Alex (1739.9),Will P (1752.1) (-65.6),Giles (1740.5),Luka (1757.5),Shevy (1767.4),Shevy (1767.4),Bowen (1772.8),Bowen (1772.8),Bowen (1772.8),Duncan (1773.8),Bowen (1772.8),Bowen (1772.8),Bowen (1772.8),Bowen (1772.8),Duncan (1773.8),Bowen (1772.8),Bowen (1772.8),Duncan (1773.8),Duncan (1773.8),Etienne (1774.5),Etienne (1774.5),Steph (1775.9) (-91.7),Caden (1777.1) (-35.2),Steph (1775.9),Steffi (1779.0),Etienne (1774.5),Rakan (1779.8),Duncan (1773.8),Rakan (1779.8),Purse (1780.5),Max (1784.4),Max (1784.4),Max (1784.4),Max (1784.4),Lukas N (1786.8),Lukas N (1786.8),Fedor (1791.3),Jonathan (1787.5),Pablo (1795.7),Pablo (1795.7),Vova (1801.9),Vova (1801.9),Adam S (1799.3),Adam S (1799.3)
55,,,,,,,,,,,,,,,,,,,,,,,Nat (1570.2),Nat (1570.2),Flavia (1605.5),Flavia (1605.5),Flavia (1605.5),Flavia (1605.5),Perth (1638.7),Perth (1638.7),Lucas (1662.7),Lucas (1662.7),Lucas H (1694.1),Lucas H (1694.1),Maiya (1714.6),Maiya (1714.6),Eugene (1716.3),Marinko (1720.1),Alonzo (1729.2),Jana (1721.7),Miriam (1726.6) (-20.0),Jenna (1733.6),Giulia (1736.3),Giles (1740.5),Alex (1738.5),Eugene (1748.2) (+47.5),Patrick L (1762.6),Patrick L (1762.6),Aisling (1771.6),Aisling (1771.6),Aisling (1771.6),Bowen (1772.8),Aisling (1771.6),Aisling (1771.6),Aisling (1771.6),Aisling (1771.6),Bowen (1772.8),Miriam (1771.2),Jack B (1769.7),Bowen (1772.8),Bowen (1772.8),Duncan (1773.8),Duncan (1773.8),Etienne (1774.5),Steph (1775.9),Etienne (1774.5),Nicholas P (1777.3),Duncan (1773.8),Steffi (1779.0),Bowen (1772.8),Steffi (1779.0),Rakan (1779.8),Purse (1780.5),Purse (1780.5),Purse (1780.5),Purse (1780.5),Max (1784.4),Max (1784.4),Jonathan (1787.5),Enrik (1787.3),Maxim (1791.4),Maxim (1791.4),Adam S (1799.3) (-20.0),Adam S (1799.3),Nick (1797.6),Nick (1797.6)
56,,,,,,,,,,,,,,,,,,,,,,,,,Andy R (1593.7),Andy R (1593.7),Andy R (1593.7),Andy R (1593.7),Flavia (1605.5),Flavia (1605.5),Marg (1651.9),Marg (1651.9),Lance (1677.2),Lance (1677.2),Alberto (1712.4),Alberto (1712.4),Megan (1714.7),Eugene (1716.3),Jana (1721.7),Will P (1721.1) (-19.8),Alonzo (1725.4) (-3.8),Jana (1721.7),Feddy (1735.7),Alex (1738.5) (-1.4),Joshua (1737.0) (-46.0),Giles (1740.5),Dan (1762.3),Dan (1762.3),Shevy (1767.4),Shevy (1767.4),Shevy (1767.4),Aisling (1771.6),Caden (1770.9) (-13.1),Miriam (1771.2) (-19.3),Miriam (1771.2),Miriam (1771.2),Miriam (1771.2),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6),Caden (1768.4) (-12.5),Bowen (1772.8),Bowen (1772.8),Duncan (1773.8),Etienne (1774.5),Duncan (1773.8),Steph (1775.9),Bowen (1772.8),Etienne (1778.6) (+4.1),Anna A (1766.6),Will P (1778.7) (+20.8),Steffi (1779.0),Rakan (1779.8),Rakan (1779.8),Rakan (1779.8),Rakan (1779.8),Idris (1780.6),Idris (1780.6),Enrik (1787.3),Aisling (1786.9),Jonathan (1787.5),Jonathan (1787.5),Nick (1797.6),Nick (1797.6),Pablo (1795.7),Pablo (1795.7)
57,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1570.2),Nat (1570.2),Nat (1553.7) (-16.5),Nat (1529.3) (-24.4),Andy R (1593.7),Andy R (1593.7),Perth (1638.7),Perth (1638.7),Lucas (1662.7),Lucas (1662.7),Marg (1712.2) (+5.2),Marg (1712.2),Maiya (1714.6),Megan (1714.7),Marinko (1720.1),Marinko (1720.1),Jana (1721.7),Marinko (1720.1),Steph (1733.9) (-18.4),Giulia (1736.3),Matilda (1736.7),Alex (1738.5),Luka (1757.5),Luka (1757.5),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6),Shevy (1767.4),Shevy (1767.4),Shevy (1767.4),Shevy (1767.4),Shevy (1767.4),Patrick L (1762.6),Dan (1762.3),Dan (1762.3),Dan (1762.3),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6),Bowen (1772.8),Duncan (1773.8),Bowen (1772.8),Etienne (1774.5),Patrick L (1762.6),Duncan (1773.8),Patrick L (1762.6),Shevy (1776.7) (+35.4),Shevy (1776.7),Steffi (1779.0),Steffi (1779.0),Steffi (1779.0),Steffi (1779.0),Purse (1780.5),Purse (1780.5),Aisling (1786.9),Max (1784.4),Enrik (1787.3),Enrik (1787.3),Pablo (1795.7),Pablo (1795.7),Maxim (1791.4),Maxim (1791.4)
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1529.3),Nat (1529.3),Flavia (1605.5),Flavia (1605.5),Perth (1638.7),Perth (1638.7),Rakan (1707.3),Fergus (1711.1) (-80.1),Alberto (1712.4),Maiya (1714.6),Caden (1716.9) (-4.5),Eugene (1716.3),Marinko (1720.1),Megan (1714.7),Jenna (1733.6),Feddy (1735.7),Giulia (1736.3),Giulia (1736.3),Rowena (1745.5),Eugene (1745.1) (+2.2),Dan (1762.3),Dan (1762.3),Dan (1762.3),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6),Dan (1762.3),Luka (1757.5),Miriam (1759.1) (-12.0),Luka (1757.5),Dan (1762.3),Dan (1762.3),Dan (1762.3),Patrick L (1762.6),Bowen (1772.8),Patrick L (1762.6),Duncan (1773.8),Will P (1762.5) (-49.7),Bowen (1772.8),Dan (1762.3),Duncan (1773.8),Duncan (1773.8),Shevy (1776.7),Shevy (1776.7),Shevy (1776.7),Shevy (1776.7),Rakan (1779.8),Rakan (1779.8),Max (1784.4),Idris (1780.6),Aisling (1786.9),Aisling (1786.9),Maxim (1791.4),Maxim (1791.4),Mark M (1788.9) (-25.4),Will P (1791.1) (-14.4)
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy R (1593.7),Andy R (1593.7),Flavia (1605.5),Flavia (1605.5),Chrissy (1701.4),Rakan (1707.3),Marg (1705.4) (-6.8),Alberto (1712.4),Eugene (1716.3),Megan (1714.7),Megan (1714.7),Maiya (1714.6),Jana (1721.7),Jenna (1733.6),Feddy (1735.7),Feddy (1735.7),Eugene (1742.9) (-5.2),Giles (1740.5),Luka (1757.5),Luka (1757.5),Luka (1757.5),Dan (1762.3),Dan (1762.3),Dan (1762.3),Dan (1762.3),Dan (1762.3),Caden (1761.9) (-35.4),Alex (1738.5),Luka (1757.5),Tom S (1741.3) (-61.2),Luka (1757.5),Luka (1757.5),Luka (1757.5),Dan (1762.3),Julia T (1763.2) (-23.1),Dan (1762.3),Bowen (1772.8),Dan (1762.3),Anna A (1766.6) (+22.2),Will P (1757.9) (-26.4),Bowen (1772.8),Bowen (1772.8),Duncan (1773.8),Duncan (1773.8),Duncan (1773.8),Duncan (1773.8),Steffi (1779.0),Steffi (1779.0),Idris (1780.6),Purse (1780.5),Vladimir (1784.7),Max (1784.4),Jonathan (1787.5),Jonathan (1787.5),Jonathan (1787.5),Mark M (1788.9)
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1529.3),Nat (1529.3),Andy R (1593.7),Andy R (1593.7),Eugene (1701.2) (-23.3),Chrissy (1701.4),Chrissy (1701.4),Marg (1705.4),Megan (1714.7),Maiya (1714.6),Maiya (1714.6),Alberto (1712.4),Marinko (1720.1),Jana (1721.7),Jenna (1733.6),Jenna (1733.6),Giles (1740.5),Alex (1738.5),Eugene (1745.1),Eugene (1745.1),Will W (1745.1),Luka (1757.5),Luka (1757.5),Luka (1757.5),Luka (1757.5),Luka (1757.5),Luka (1757.5),Giulia (1736.3),Alex (1738.5),Alex (1738.5),Tom S (1741.3),Tom S (1741.3),Tom S (1741.3),Luka (1757.5),Patrick L (1762.6),Caden (1760.4) (-16.7),Max (1770.2),Caden (1760.4),Patrick L (1762.6),Luka (1757.5),Max (1769.1) (+23.1),Patrick L (1762.6),Bowen (1772.8),Bowen (1772.8),Bowen (1772.8),Bowen (1772.8),Shevy (1776.7),Shevy (1776.7),Purse (1780.5),Rakan (1779.8),Max (1784.4),Idris (1780.6),Enrik (1787.3),Enrik (1787.3),Enrik (1787.3),Jonathan (1787.5)
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7) (-15.6),Nat (1513.7),Lucas H (1694.1),Lucas H (1694.1),Lucas H (1694.1),Chrissy (1701.4),Maiya (1714.6),Alberto (1712.4),Alberto (1712.4),Eugene (1704.0) (+15.6),Megan (1714.7),Marinko (1720.1),Caden (1722.6) (+35.0),Jana (1721.7),Alex (1738.5),Giulia (1736.3),Giles (1740.5),Giles (1740.5),Giles (1740.5),Giles (1740.5),Giles (1739.9) (-0.6),Alex (1738.5),Alex (1738.5),Alex (1738.5),Alex (1738.5),Feddy (1735.7),Marg (1736.7) (+39.9),Marg (1736.7),Alex (1738.5),Alex (1738.5),Maxim (1740.0),Tom S (1741.3),Dan (1762.3),Luka (1757.5),Shevy (1763.1) (+42.0),Luka (1757.5),Dan (1762.3),Etienne (1756.3) (-22.2),Angelica (1768.3),Dan (1762.3),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6),Patrick L (1762.6),Duncan (1773.8),Duncan (1773.8),Rakan (1779.8),Steffi (1779.0),Kirill (1781.4) (+34.3),Purse (1780.5),Aisling (1786.9),Aisling (1786.9),Aisling (1786.9),Enrik (1787.3)
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lance (1677.2),Lance (1677.2),Rakan (1685.2) (-22.2),Lucas H (1694.1),Alberto (1712.4),Chrissy (1701.4),Marg (1702.4) (+3.1),Marg (1702.4),Maiya (1714.6),Megan (1714.7),Jana (1721.7),Marinko (1720.1),Giulia (1736.3),Feddy (1735.7),Alex (1738.5),Alex (1738.5),Alex (1738.5),Alex (1738.5),Alex (1738.5),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Jenna (1733.6),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Alex (1738.5),Alex (1738.5),Luka (1757.5),Marg (1747.6),Patrick L (1762.6),Max (1746.0) (-24.2),Luka (1757.5),Caden (1753.1) (-3.5),Patrick L (1762.6),Luka (1757.5),Dan (1762.3),Dan (1762.3),Dan (1762.3),Dan (1762.3),Bowen (1772.8),Bowen (1772.8),Steffi (1779.0),Duncan (1773.8),Idris (1780.6),Rakan (1779.8),Max (1784.4),Max (1784.4),Max (1784.4),Aisling (1786.9)
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucas (1662.7),Lucas (1662.7),Lance (1677.2),Lance (1677.2),Chrissy (1701.4),Marg (1699.3),Chrissy (1701.4),Chrissy (1701.4),Alberto (1712.4),Maiya (1714.6),Marinko (1720.1),Marg (1719.6),Feddy (1735.7),Jenna (1733.6),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Giulia (1736.3),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Caden (1733.0) (-29.0),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Giulia (1736.3),Giulia (1736.3),Marg (1747.6) (+18.9),Tom S (1741.3),Dan (1762.3),Anna A (1744.4) (-90.8),Caden (1756.6) (-3.8),Max (1746.0),Dan (1762.3),Etienne (1756.3),Luka (1757.5),Luka (1757.5),Luka (1757.5),Luka (1757.5),Caden (1771.4) (+34.3),Max V (1771.5) (-43.3),Duncan (1773.8),Bowen (1772.8),Purse (1780.5),Steffi (1779.0),Idris (1780.6),Idris (1780.6),Fedor (1781.2) (+14.8),Max (1784.4)
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perth (1638.7),Perth (1638.7),Fergus (1676.3) (-34.8),Lucas (1662.7),Marg (1699.3) (-6.1),Lucas H (1694.1),Caden (1701.2) (+29.4),Lucas H (1694.1),Eugene (1704.0),Alberto (1712.4),Marg (1719.6) (+17.3),Megan (1714.7),Jenna (1733.6),Jana (1721.7),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Feddy (1735.7),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Chrissy (1727.3),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Feddy (1735.7),Feddy (1735.7),Tom S (1741.3),Alex (1738.5),Caden (1760.4),Tom S (1741.3),Max (1746.0),Tom S (1741.3),Luka (1757.5),Will P (1748.0) (-30.7),Etienne (1756.3),Etienne (1756.3),Etienne (1756.3),Etienne (1756.3),Patrick L (1762.6),Patrick L (1762.6),Bowen (1772.8),Max V (1771.5),Rakan (1779.8),Tom S (1777.6) (+8.3),Purse (1780.5),Purse (1780.5),Idris (1780.6),Idris (1780.6)
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flavia (1605.5),Flavia (1605.5),Lucas (1662.7),Perth (1638.7),Lucas H (1694.1),Lance (1677.2),Lucas H (1694.1),Alonzo (1691.3) (-34.1),Marg (1702.4),Eugene (1704.0),Megan (1714.7),Maiya (1714.6),Jana (1721.7),Marinko (1720.1),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Jenna (1733.6),Marg (1727.9),Chrissy (1727.3),Chrissy (1727.3),Chrissy (1727.3),Jana (1721.7),Caden (1729.2) (-3.8),Chrissy (1727.3),Chrissy (1727.3),Chrissy (1727.3),Jenna (1733.6),Jenna (1733.6),Alex (1738.5),Giulia (1736.3),Luka (1757.5),Shevy (1741.2) (-21.8),Tom S (1741.3),Shevy (1741.2),Etienne (1756.3),Caden (1747.6) (-4.8),Will P (1748.0),Will P (1748.0),Will P (1748.0),Will P (1748.0),Dan (1762.3),Dan (1762.3),Isra (1772.1),Patrick L (1762.6),Steffi (1779.0),Duncan (1773.8),Rakan (1779.8),Rakan (1779.8),Purse (1780.5),Purse (1780.5)
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy R (1593.7),Andy R (1593.7),Perth (1638.7),Fergus (1630.0) (-46.3),Lance (1677.2),Caden (1671.9) (-45.1),Eugene (1688.5) (-27.8),Caden (1687.6) (-13.6),Chrissy (1701.4),Marg (1702.4),Maiya (1714.6),Alberto (1712.4),Marinko (1720.1),Megan (1714.7),Matilda (1732.8) (+21.5),Marg (1722.7),Eugene (1724.8) (-20.3),Jana (1721.7),Marg (1727.9) (+13.6),Chrissy (1727.3),Marg (1722.0) (-5.8),Jana (1721.7),Jana (1721.7),Shevy (1721.1) (-67.8),Chrissy (1727.3),Jana (1721.7),Marg (1726.3) (-10.4),Marg (1726.3),Marg (1728.7) (+2.4),Marg (1728.7),Giulia (1736.3),Feddy (1735.7),Tom S (1741.3),Nicholas P (1741.0) (-36.3),Shevy (1741.2),Nicholas P (1741.0),Caden (1752.4) (-0.7),Tom S (1741.3),Kirill (1743.7) (+5.3),Tom S (1741.3),Tom S (1741.3),Tom S (1741.3),Luka (1757.5),Luka (1757.5),Max V (1771.5),Dan (1762.3),Duncan (1773.8),Bowen (1772.8),Steffi (1779.0),Steffi (1779.0),Rakan (1779.8),Rakan (1779.8)
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7),Nat (1513.7),Flavia (1605.5),Flavia (1605.5),Lucas (1662.7),Lucas (1662.7),Lance (1677.2),Lance (1677.2),Lucas H (1694.1),Chrissy (1701.4),Alberto (1712.4),Matilda (1711.3) (-25.4),Alix S (1715.7) (-47.8),Maiya (1714.6),Marg (1722.7) (+9.8),Jana (1721.7),Jana (1721.7),Megan (1714.7),Chrissy (1727.3) (+25.9),Jana (1721.7),Jana (1721.7),Megan (1714.7),Megan (1714.7),Megan (1714.7),Kirill (1722.9),Shevy (1721.1),Jana (1721.7),Jana (1721.7),Chrissy (1727.3),Chrissy (1727.3),Feddy (1735.7),Jenna (1733.6),Alex (1738.5),Alex (1738.5),Nicholas P (1741.0),Alex (1738.5),Tom S (1741.3),Nicholas P (1741.0),Tom S (1741.3),Nicholas P (1741.0),Nicholas P (1741.0),Nicholas P (1741.0),Etienne (1756.3),Etienne (1756.3),Will P (1765.0) (+16.3),Luka (1757.5),Bowen (1772.8),Will P (1769.7) (-39.4),Duncan (1773.8),Duncan (1773.8),Steffi (1779.0),Steffi (1779.0)
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andy R (1593.7),Andy R (1593.7),Perth (1638.7),Perth (1638.7),Lucas (1662.7),Lucas (1662.7),Alonzo (1691.3),Lucas H (1694.1),Chrissy (1701.4),Chrissy (1701.4),Megan (1714.7),Marg (1712.9),Jana (1721.7),Megan (1714.7),Megan (1714.7),Maiya (1714.6),Jana (1721.7),Megan (1714.7),Megan (1714.7),Maiya (1714.6),Maiya (1714.6),Maiya (1714.6),Jana (1721.7),Megan (1714.7),Shevy (1721.1),Shevy (1721.1),Jana (1721.7),Jana (1721.7),Jenna (1733.6),Chrissy (1727.3),Marg (1737.6) (-10.0),Marg (1737.6),Alex (1738.5),Marg (1737.6),Nicholas P (1741.0),Alex (1738.5),Nicholas P (1741.0),Alex (1738.5),Alex (1738.5),Alex (1738.5),Kirill (1752.2) (+36.0),Kirill (1754.0) (+1.8),Patrick L (1762.6),Etienne (1756.3),Tom S (1769.3) (+28.0),Patrick L (1762.6),Bowen (1772.8),Bowen (1772.8),Duncan (1773.8),Duncan (1773.8)
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nat (1513.7),Nat (1513.7),Fergus (1630.0),Fergus (1630.0),Perth (1638.7),Perth (1638.7),Caden (1687.6),Alonzo (1691.3),Eugene (1700.7) (-3.4),Lucas H (1694.1),Maiya (1714.6),Alberto (1712.4),Megan (1714.7),Maiya (1714.6),Maiya (1714.6),Marg (1714.2),Megan (1714.7),Maiya (1714.6),Maiya (1714.6),Alberto (1712.4),Alberto (1712.4),Alberto (1712.4),Shevy (1721.1),Maiya (1714.6),Matilda (1720.5) (+10.0),Megan (1714.7),Shevy (1721.1),Shevy (1721.1),Chrissy (1727.3),Jana (1721.7),Giulia (1736.3),Giulia (1736.3),Marg (1737.6),Giulia (1736.3),Alex (1738.5),Kirill (1738.4) (+42.7),Alex (1738.5),Caden (1737.1) (+3.8),Caden (1737.1),Caden (1737.1),Will P (1744.1) (-3.9),Caden (1751.5) (-19.8),Dan (1762.3),Kirill (1747.1) (-5.7),Patrick L (1762.6),Dan (1762.3),Patrick L (1762.6),Fedor (1766.4) (+21.1),Bowen (1772.8),Bowen (1772.8)
