Fencer,2025-05-06 After Poules,2025-05-06 After DEs,2025-05-13 After Poules,2025-05-13 After DEs,2025-05-20 After Poules,2025-05-20 After DEs,2025-05-27 After Poules,2025-05-27 After DEs,2025-06-03 After Poules,2025-06-03 After DEs,2025-06-10 After Poules,2025-06-10 After DEs,2025-06-17 After Poules,2025-06-17 After DEs,2025-06-24 After Poules,2025-06-24 After DEs,2025-07-01 After Poules,2025-07-01 After DEs,2025-07-08 After Poules,2025-07-08 After DEs,2025-07-15 After Poules,2025-07-15 After DEs,2025-09-01 After Poules,2025-09-01 After DEs,2025-09-09 After Poules,2025-09-09 After DEs,2025-09-16 After Poules,2025-09-16 After DEs,2025-09-23 After Poules,2025-09-23 After DEs,2025-09-30 After Poules,2025-09-30 After DEs,2025-10-07 After Poules,2025-10-07 After DEs,2025-10-14 After Poules,2025-10-14 After DEs,2025-10-21 After Poules,2025-10-21 After DEs,2025-10-28 After Poules,2025-10-28 After DEs,2025-11-04 After Poules,2025-11-04 After DEs,2025-11-10 After Poules,2025-11-10 After DEs,2025-11-18 After Poules,2025-11-18 After DEs,2025-11-25 After Poules,2025-11-25 After DEs,2025-12-02 After Poules,2025-12-02 After DEs,2025-12-09 After Poules,2025-12-09 After DEs,2025-12-16 After Poules,2025-12-16 After DEs,2026-01-06 After Poules,2026-01-06 After DEs,2026-01-13 After Poules,2026-01-13 After DEs,2026-01-20 After Poules,2026-01-20 After DEs,2026-01-27 After Poules,2026-01-27 After DEs,2026-02-03 After Poules,2026-02-03 After DEs,2026-02-10 After Poules,2026-02-10 After DEs,2026-02-17 After Poules,2026-02-17 After DEs,2026-02-24 After Poules,2026-02-24 After DEs,2026-03-03 After Poules,2026-03-03 After DEs,2026-03-10 After Poules,2026-03-10 After DEs,2026-03-17 After Poules,2026-03-17 After DEs,2026-03-24 After Poules,2026-03-24 After DEs,2026-04-14 After Poules,2026-04-14 After DEs,2026-04-21 After Poules,2026-04-21 After DEs
Giles,,,"1806.4 (+6.4, #13)","1833.6 (+27.3, #9)","1812.0 (-21.6, #19)","1746.3 (-65.7, #30)",1746.3 (#29),1746.3 (#31),1746.3 (#34),1746.3 (#31),1746.3 (#34),1746.3 (#32),1746.3 (#34),1746.3 (#32),1746.3 (#35),1746.3 (#34),1746.3 (#36),1746.3 (#35),1746.3 (#37),1746.3 (#35),"1749.9 (+3.5, #37)","1768.6 (+18.7, #32)",1768.6 (#33),1768.6 (#33),1768.6 (#33),1768.6 (#35),1768.6 (#37),1768.6 (#36),"1769.9 (+1.3, #37)","1744.2 (-25.6, #41)",1744.2 (#44),1744.2 (#42),1744.2 (#44),1744.2 (#41),1744.2 (#46),1744.2 (#43),1744.2 (#47),1744.2 (#46),1744.2 (#50),1744.2 (#50),1744.2 (#51),1744.2 (#52),1744.2 (#53),1744.2 (#55),1744.2 (#54),1744.2 (#56),1744.2 (#60),1744.2 (#59),1744.2 (#61),1744.2 (#61),1744.2 (#61),1744.2 (#61),"1743.6 (-0.6, #61)","1674.8 (-68.8, #76)",1674.8 (#76),1674.8 (#76),1674.8 (#77),1674.8 (#77),1674.8 (#80),1674.8 (#79),1674.8 (#80),1674.8 (#79),1674.8 (#80),1674.8 (#79),1674.8 (#83),1674.8 (#84),1674.8 (#87),1674.8 (#89),1674.8 (#90),1674.8 (#89),1674.8 (#91),1674.8 (#91),1674.8 (#94),1674.8 (#93),1674.8 (#92),1674.8 (#91),1674.8 (#94),1674.8 (#94),1674.8 (#98),1674.8 (#98),1674.8 (#101),1674.8 (#101)
Giulia,,,,,,,,,"1764.3 (-35.7, #29)","1736.5 (-27.8, #33)",1736.5 (#35),1736.5 (#35),1736.5 (#38),1736.5 (#35),1736.5 (#37),1736.5 (#36),1736.5 (#38),1736.5 (#37),1736.5 (#39),1736.5 (#37),1736.5 (#38),1736.5 (#38),1736.5 (#39),1736.5 (#39),1736.5 (#42),1736.5 (#41),1736.5 (#41),1736.5 (#40),1736.5 (#43),1736.5 (#42),1736.5 (#45),1736.5 (#43),1736.5 (#45),1736.5 (#44),1736.5 (#49),1736.5 (#46),1736.5 (#48),1736.5 (#48),1736.5 (#53),1736.5 (#51),1736.5 (#52),1736.5 (#53),1736.5 (#55),1736.5 (#57),1736.5 (#58),1736.5 (#58),1736.5 (#62),1736.5 (#61),1736.5 (#63),1736.5 (#63),1736.5 (#63),1736.5 (#63),1736.5 (#63),1736.5 (#62),1736.5 (#62),1736.5 (#62),1736.5 (#62),1736.5 (#61),1736.5 (#62),1736.5 (#62),1736.5 (#62),1736.5 (#62),1736.5 (#63),1736.5 (#63),1736.5 (#66),1736.5 (#65),1736.5 (#69),1736.5 (#69),1736.5 (#70),1736.5 (#70),1736.5 (#71),1736.5 (#71),1736.5 (#72),1736.5 (#71),1736.5 (#71),1736.5 (#71),1736.5 (#74),1736.5 (#75),1736.5 (#78),1736.5 (#76),1736.5 (#79),1736.5 (#77)
Greg,"1868.1 (+68.1, #3)","1925.8 (+57.6, #3)","1975.0 (+49.3, #2)","2146.2 (+171.1, #1)","2114.5 (-31.6, #1)","2085.2 (-29.4, #2)","2078.4 (-6.7, #2)","2069.5 (-9.0, #2)","2053.7 (-15.8, #2)","2036.1 (-17.6, #4)","1971.3 (-64.8, #4)","2128.7 (+157.4, #1)","2090.9 (-37.8, #1)","2220.9 (+130.0, #1)","2176.3 (-44.6, #1)","2250.1 (+73.8, #1)","2204.8 (-45.3, #1)","2274.6 (+69.8, #1)","2220.6 (-54.0, #1)","2288.3 (+67.7, #1)","2236.7 (-51.6, #1)","2194.4 (-42.3, #1)","2158.3 (-36.1, #1)","2228.7 (+70.5, #1)","2156.5 (-72.3, #1)","2113.6 (-42.9, #2)","2105.8 (-7.7, #1)","2197.8 (+91.9, #1)","2168.9 (-28.9, #1)","2145.0 (-23.9, #1)","2108.1 (-36.9, #2)","2103.5 (-4.6, #2)","2048.9 (-54.6, #4)","2046.7 (-2.2, #5)","2044.0 (-2.7, #4)","1961.7 (-82.3, #9)","1976.8 (+15.2, #7)","1924.6 (-52.2, #13)","1937.6 (+13.0, #12)","1948.6 (+10.9, #14)","1980.6 (+32.1, #8)","2161.9 (+181.3, #2)",2161.9 (#2),2161.9 (#2),"2093.3 (-68.6, #3)","2022.3 (-71.0, #5)","2003.2 (-19.1, #6)","2161.5 (+158.3, #1)","2127.7 (-33.7, #1)","2234.6 (+106.8, #1)","2194.3 (-40.3, #1)","2291.0 (+96.7, #1)",2291.0 (#1),2291.0 (#1),"2286.5 (-4.5, #1)","2353.5 (+66.9, #1)","2289.2 (-64.2, #1)","2248.9 (-40.3, #1)","2220.9 (-28.0, #1)","2205.9 (-15.0, #1)","2189.1 (-16.8, #1)","2171.6 (-17.5, #3)",2171.6 (#2),2171.6 (#2),"2174.8 (+3.2, #2)","2176.4 (+1.6, #3)",2176.4 (#3),2176.4 (#3),2176.4 (#3),2176.4 (#4),"2128.4 (-48.0, #4)","2112.6 (-15.8, #6)","2091.5 (-21.0, #5)","2082.3 (-9.2, #5)","2073.6 (-8.7, #5)","2163.2 (+89.5, #3)","2156.8 (-6.4, #2)","2137.8 (-19.0, #3)","2120.4 (-17.4, #3)","2237.0 (+116.6, #1)","2202.3 (-34.7, #1)","2314.2 (+111.8, #1)"
Idris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1781.6 (-18.4, #56)",1781.6 (#56),1781.6 (#59),1781.6 (#58),1781.6 (#62),1781.6 (#61)
Isra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1773.2 (-26.8, #67)","1700.5 (-72.8, #92)",1700.5 (#95),1700.5 (#94)
Jack B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1771.6 (-28.4, #55)","1689.0 (-82.5, #76)",1689.0 (#76),1689.0 (#75),1689.0 (#76),1689.0 (#76),1689.0 (#79),1689.0 (#79),1689.0 (#82),1689.0 (#84),1689.0 (#85),1689.0 (#85),1689.0 (#88),1689.0 (#86),1689.0 (#88),1689.0 (#89),1689.0 (#88),1689.0 (#88),1689.0 (#91),1689.0 (#90),1689.0 (#94),1689.0 (#94),1689.0 (#98),1689.0 (#97)
James S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1839.7 (+39.7, #34)","1822.6 (-17.1, #38)","1852.3 (+29.7, #32)","1858.9 (+6.6, #33)","1866.5 (+7.6, #31)","1889.2 (+22.7, #25)","1889.0 (-0.2, #26)","1868.0 (-21.0, #30)","1897.8 (+29.8, #26)","1922.5 (+24.7, #23)","1876.4 (-46.1, #29)","1921.8 (+45.4, #23)"
Jamie S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1867.9 (+67.9, #31)",1867.9 (#32),1867.9 (#33),1867.9 (#33),1867.9 (#34)
Jana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1723.1 (-76.9, #47)",1723.1 (#46),1723.1 (#46),1723.1 (#46),1723.1 (#51),1723.1 (#49),1723.1 (#51),1723.1 (#52),1723.1 (#56),1723.1 (#55),1723.1 (#57),1723.1 (#56),1723.1 (#59),1723.1 (#60),1723.1 (#62),1723.1 (#61),1723.1 (#65),1723.1 (#64),1723.1 (#68),1723.1 (#67),1723.1 (#67),1723.1 (#66),1723.1 (#68),1723.1 (#67),1723.1 (#67),1723.1 (#66),1723.1 (#66),1723.1 (#66),1723.1 (#69),1723.1 (#67),1723.1 (#69),1723.1 (#68),1723.1 (#69),1723.1 (#69),1723.1 (#71),1723.1 (#70),1723.1 (#73),1723.1 (#74),1723.1 (#75),1723.1 (#75),1723.1 (#76),1723.1 (#76),1723.1 (#78),1723.1 (#77),1723.1 (#78),1723.1 (#77),1723.1 (#80),1723.1 (#80),1723.1 (#82),1723.1 (#82),1723.1 (#85),1723.1 (#84)
Jenna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1734.2 (-65.8, #50)",1734.2 (#47),1734.2 (#49),1734.2 (#49),1734.2 (#54),1734.2 (#53),1734.2 (#54),1734.2 (#55),1734.2 (#58),1734.2 (#59),1734.2 (#60),1734.2 (#60),1734.2 (#64),1734.2 (#63),1734.2 (#66),1734.2 (#65),1734.2 (#65),1734.2 (#65),1734.2 (#65),1734.2 (#64),1734.2 (#64),1734.2 (#64),1734.2 (#64),1734.2 (#63),1734.2 (#65),1734.2 (#64),1734.2 (#64),1734.2 (#64),1734.2 (#65),1734.2 (#65),1734.2 (#68),1734.2 (#67),1734.2 (#71),1734.2 (#71),1734.2 (#72),1734.2 (#72),1734.2 (#73),1734.2 (#73),1734.2 (#74),1734.2 (#73),1734.2 (#73),1734.2 (#73),1734.2 (#76),1734.2 (#77),1734.2 (#80),1734.2 (#79),1734.2 (#82),1734.2 (#80)
John H,,,,,,,,,"1796.5 (-3.5, #21)","1809.0 (+12.5, #20)","1812.9 (+3.9, #22)","1917.4 (+104.5, #8)",1917.4 (#8),1917.4 (#9),1917.4 (#9),1917.4 (#9),1917.4 (#9),1917.4 (#11),1917.4 (#10),1917.4 (#12),"1908.2 (-9.2, #12)","1911.8 (+3.6, #12)",1911.8 (#12),1911.8 (#12),1911.8 (#13),1911.8 (#13),1911.8 (#13),1911.8 (#14),1911.8 (#14),1911.8 (#13),1911.8 (#13),1911.8 (#14),1911.8 (#15),1911.8 (#14),"1910.8 (-0.9, #13)",1910.8 (#15),"1910.0 (-0.9, #16)",1910.0 (#16),"1909.2 (-0.8, #16)",1909.2 (#18),"1908.4 (-0.7, #17)",1908.4 (#16),"1907.8 (-0.7, #16)",1907.8 (#18),"1907.1 (-0.6, #18)",1907.1 (#18),"1906.6 (-0.6, #19)",1906.6 (#19),"1906.0 (-0.5, #18)",1906.0 (#18),"1880.2 (-25.9, #24)","1846.7 (-33.5, #29)",1846.7 (#29),1846.7 (#28),"1876.4 (+29.7, #24)","1852.6 (-23.8, #28)","1889.3 (+36.7, #23)","1925.5 (+36.2, #17)","1892.9 (-32.6, #23)","1871.3 (-21.6, #27)",1871.3 (#28),1871.3 (#27),1871.3 (#27),1871.3 (#27),1871.3 (#28),1871.3 (#29),1871.3 (#28),1871.3 (#27),1871.3 (#27),1871.3 (#29),1871.3 (#28),1871.3 (#29),1871.3 (#29),1871.3 (#29),1871.3 (#29),1871.3 (#30),1871.3 (#29),1871.3 (#27),1871.3 (#30),1871.3 (#31),1871.3 (#31),1871.3 (#32)
Jonathan,,,"1778.8 (-21.2, #20)","1722.5 (-56.3, #29)",1722.5 (#35),1722.5 (#34),1722.5 (#36),1722.5 (#33),"1765.3 (+42.9, #28)",1765.3 (#27),1765.3 (#30),1765.3 (#27),1765.3 (#31),1765.3 (#29),1765.3 (#33),1765.3 (#31),1765.3 (#32),1765.3 (#32),1765.3 (#35),1765.3 (#32),1765.3 (#34),1765.3 (#34),1765.3 (#35),1765.3 (#35),1765.3 (#34),1765.3 (#37),"1777.2 (+11.9, #33)","1719.8 (-57.4, #41)",1719.8 (#44),1719.8 (#44),"1725.1 (+5.3, #46)",1725.1 (#45),"1768.3 (+43.2, #34)","1832.2 (+63.9, #27)","1872.0 (+39.8, #23)","1808.8 (-63.3, #30)",1808.8 (#31),1808.8 (#31),1808.8 (#32),1808.8 (#32),"1845.1 (+36.4, #28)","1794.4 (-50.7, #37)",1794.4 (#39),1794.4 (#36),"1845.2 (+50.8, #30)","1790.6 (-54.7, #40)",1790.6 (#44),1790.6 (#44),1790.6 (#46),1790.6 (#46),1790.6 (#46),1790.6 (#47),1790.6 (#48),1790.6 (#47),1790.6 (#47),1790.6 (#48),1790.6 (#49),1790.6 (#47),1790.6 (#48),1790.6 (#47),1790.6 (#48),1790.6 (#49),1790.6 (#49),1790.6 (#49),1790.6 (#50),1790.6 (#50),1790.6 (#50),1790.6 (#48),1790.6 (#50),1790.6 (#49),1790.6 (#51),1790.6 (#50),1790.6 (#50),1790.6 (#51),1790.6 (#51),1790.6 (#51),1790.6 (#53),1790.6 (#53),1790.6 (#56),1790.6 (#55),1790.6 (#57),1790.6 (#57)
Joshua,"1782.2 (-17.8, #16)","1789.2 (+7.0, #13)","1786.6 (-2.6, #18)","1755.2 (-31.4, #25)",1755.2 (#29),1755.2 (#28),"1745.0 (-10.2, #30)","1784.1 (+39.1, #24)",1784.1 (#25),1784.1 (#25),1784.1 (#26),1784.1 (#25),1784.1 (#27),1784.1 (#26),1784.1 (#28),1784.1 (#27),1784.1 (#25),1784.1 (#26),1784.1 (#29),1784.1 (#27),1784.1 (#28),1784.1 (#27),1784.1 (#28),1784.1 (#27),1784.1 (#28),1784.1 (#29),1784.1 (#30),1784.1 (#30),1784.1 (#32),1784.1 (#30),1784.1 (#30),1784.1 (#29),1784.1 (#30),1784.1 (#30),1784.1 (#35),1784.1 (#34),1784.1 (#37),1784.1 (#35),1784.1 (#37),1784.1 (#36),1784.1 (#38),1784.1 (#38),1784.1 (#41),1784.1 (#37),"1739.2 (-44.9, #56)","1691.3 (-48.0, #71)","1679.0 (-12.3, #76)","1674.6 (-4.4, #77)","1692.1 (+17.5, #77)","1688.8 (-3.3, #75)","1699.5 (+10.7, #75)","1658.4 (-41.1, #81)","1635.9 (-22.6, #83)","1637.0 (+1.2, #83)",1637.0 (#83),1637.0 (#83),1637.0 (#83),1637.0 (#83),1637.0 (#86),1637.0 (#86),"1636.2 (-0.8, #87)",1636.2 (#87),"1643.0 (+6.7, #87)","1656.9 (+13.9, #84)","1678.4 (+21.5, #81)","1702.3 (+23.9, #75)","1688.6 (-13.6, #83)","1676.5 (-12.1, #88)",1676.5 (#89),1676.5 (#88),"1698.8 (+22.2, #86)","1678.0 (-20.7, #89)","1686.0 (+8.0, #89)","1656.0 (-30.0, #96)",1656.0 (#96),1656.0 (#96),1656.0 (#98),1656.0 (#99),"1655.8 (-0.2, #102)","1621.5 (-34.3, #103)",1621.5 (#106),1621.5 (#106)
Julia T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1802.1 (+2.1, #31)","1796.4 (-5.8, #32)",1796.4 (#34),1796.4 (#34),1796.4 (#35),1796.4 (#35),1796.4 (#36),1796.4 (#36),1796.4 (#37),1796.4 (#35),1796.4 (#38),1796.4 (#39),1796.4 (#43),1796.4 (#43),1796.4 (#45),1796.4 (#44),"1823.7 (+27.3, #37)",1823.7 (#38),1823.7 (#38),1823.7 (#37),1823.7 (#37),1823.7 (#37),1823.7 (#36),1823.7 (#37),1823.7 (#37),1823.7 (#36),1823.7 (#37),1823.7 (#38),"1788.0 (-35.6, #50)",1788.0 (#50),"1765.9 (-22.1, #59)","1688.8 (-77.1, #80)","1715.6 (+26.9, #74)",1715.6 (#75),1715.6 (#76),1715.6 (#76),1715.6 (#77),1715.6 (#77),1715.6 (#80),1715.6 (#78),1715.6 (#79),1715.6 (#79),1715.6 (#81),1715.6 (#81),1715.6 (#84),1715.6 (#85),1715.6 (#87),1715.6 (#86)
Karsten,,,,,,,,,,,,,,,,,,,,,,,"1832.2 (+32.2, #23)","1906.9 (+74.7, #13)",1906.9 (#14),1906.9 (#14),1906.9 (#14),1906.9 (#15),1906.9 (#15),1906.9 (#14),1906.9 (#14),1906.9 (#15),1906.9 (#16),1906.9 (#15),1906.9 (#15),1906.9 (#17),"1906.4 (-0.6, #17)",1906.4 (#17),"1905.9 (-0.5, #17)",1905.9 (#19),"1905.4 (-0.5, #18)",1905.4 (#17),"1905.0 (-0.4, #17)",1905.0 (#19),"1904.6 (-0.4, #19)",1904.6 (#19),"1904.2 (-0.4, #20)",1904.2 (#20),"1903.9 (-0.3, #19)",1903.9 (#19),"1903.6 (-0.3, #21)",1903.6 (#21),"1903.3 (-0.3, #20)",1903.3 (#21),"1903.0 (-0.3, #22)",1903.0 (#22),"1902.8 (-0.2, #22)",1902.8 (#23),"1902.6 (-0.2, #22)",1902.6 (#20),"1902.3 (-0.2, #21)",1902.3 (#22),"1902.2 (-0.2, #22)",1902.2 (#22),"1902.0 (-0.2, #24)",1902.0 (#23),"1901.8 (-0.2, #22)",1901.8 (#24),"1901.7 (-0.1, #23)",1901.7 (#22),"1901.5 (-0.1, #21)",1901.5 (#23),"1901.4 (-0.1, #25)",1901.4 (#24),"1901.3 (-0.1, #24)",1901.3 (#24),"1901.2 (-0.1, #25)",1901.2 (#24),1901.2 (#24),1901.2 (#27),1901.2 (#26),1901.2 (#27)
Kirill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1724.8 (-75.2, #68)","1684.1 (-40.7, #77)",1684.1 (#77),1684.1 (#76),"1680.9 (-3.2, #78)","1660.7 (-20.1, #83)","1691.2 (+30.5, #78)","1676.6 (-14.6, #83)","1684.8 (+8.2, #84)","1708.1 (+23.3, #79)",1708.1 (#80),1708.1 (#80),"1699.1 (-9.0, #84)","1742.0 (+42.9, #68)","1747.4 (+5.3, #66)","1712.1 (-35.3, #82)","1724.8 (+12.7, #77)","1720.5 (-4.3, #78)","1755.7 (+35.2, #69)","1757.8 (+2.1, #68)","1757.0 (-0.9, #74)","1751.4 (-5.5, #70)","1785.8 (+34.3, #60)","1750.8 (-35.0, #73)"
Lance,,,,,"1777.1 (-22.9, #27)","1811.2 (+34.2, #17)",1811.2 (#19),1811.2 (#18),"1754.6 (-56.6, #32)","1696.3 (-58.3, #38)",1696.3 (#41),1696.3 (#41),1696.3 (#44),1696.3 (#43),"1667.8 (-28.5, #47)","1677.9 (+10.1, #47)",1677.9 (#48),1677.9 (#48),1677.9 (#50),1677.9 (#50),1677.9 (#49),1677.9 (#49),1677.9 (#50),1677.9 (#50),1677.9 (#51),1677.9 (#51),1677.9 (#51),1677.9 (#51),1677.9 (#51),1677.9 (#51),1677.9 (#54),1677.9 (#54),1677.9 (#56),1677.9 (#56),1677.9 (#62),1677.9 (#62),1677.9 (#63),1677.9 (#63),1677.9 (#66),1677.9 (#65),1677.9 (#67),1677.9 (#67),1677.9 (#70),1677.9 (#71),1677.9 (#72),1677.9 (#72),1677.9 (#77),1677.9 (#75),1677.9 (#78),1677.9 (#77),1677.9 (#78),1677.9 (#76),1677.9 (#77),1677.9 (#75),1677.9 (#75),1677.9 (#75),1677.9 (#76),1677.9 (#76),1677.9 (#79),1677.9 (#78),1677.9 (#79),1677.9 (#78),1677.9 (#79),1677.9 (#78),1677.9 (#82),1677.9 (#82),1677.9 (#86),1677.9 (#87),1677.9 (#88),1677.9 (#87),1677.9 (#90),1677.9 (#90),1677.9 (#93),1677.9 (#92),1677.9 (#91),1677.9 (#90),1677.9 (#93),1677.9 (#93),1677.9 (#97),1677.9 (#97),1677.9 (#100),1677.9 (#100)
Lucas,"1745.4 (-54.6, #22)","1679.9 (-65.4, #26)","1702.7 (+22.8, #33)","1690.6 (-12.2, #33)","1708.2 (+17.6, #37)","1663.1 (-45.1, #39)",1663.1 (#41),1663.1 (#40),1663.1 (#42),1663.1 (#42),1663.1 (#45),1663.1 (#45),1663.1 (#48),1663.1 (#48),1663.1 (#48),1663.1 (#48),1663.1 (#49),1663.1 (#49),1663.1 (#51),1663.1 (#51),1663.1 (#51),1663.1 (#51),1663.1 (#52),1663.1 (#52),1663.1 (#54),1663.1 (#53),1663.1 (#53),1663.1 (#53),1663.1 (#53),1663.1 (#52),1663.1 (#55),1663.1 (#55),1663.1 (#57),1663.1 (#57),1663.1 (#63),1663.1 (#63),1663.1 (#65),1663.1 (#64),1663.1 (#67),1663.1 (#67),1663.1 (#68),1663.1 (#68),1663.1 (#71),1663.1 (#73),1663.1 (#74),1663.1 (#74),1663.1 (#79),1663.1 (#78),1663.1 (#80),1663.1 (#78),1663.1 (#79),1663.1 (#78),1663.1 (#78),1663.1 (#78),1663.1 (#78),1663.1 (#78),1663.1 (#81),1663.1 (#80),1663.1 (#82),1663.1 (#82),1663.1 (#83),1663.1 (#83),1663.1 (#82),1663.1 (#82),1663.1 (#86),1663.1 (#86),1663.1 (#89),1663.1 (#90),1663.1 (#92),1663.1 (#90),1663.1 (#92),1663.1 (#92),1663.1 (#96),1663.1 (#95),1663.1 (#95),1663.1 (#95),1663.1 (#97),1663.1 (#98),1663.1 (#101),1663.1 (#101),1663.1 (#104),1663.1 (#104)
Lucas H,,,,,,,"1723.4 (-76.6, #34)","1695.0 (-28.5, #36)",1695.0 (#39),1695.0 (#39),1695.0 (#42),1695.0 (#42),1695.0 (#45),1695.0 (#46),1695.0 (#46),1695.0 (#46),1695.0 (#46),1695.0 (#46),1695.0 (#48),1695.0 (#48),1695.0 (#48),1695.0 (#48),1695.0 (#49),1695.0 (#49),1695.0 (#50),1695.0 (#50),1695.0 (#49),1695.0 (#49),1695.0 (#50),1695.0 (#50),1695.0 (#52),1695.0 (#53),1695.0 (#55),1695.0 (#55),1695.0 (#61),1695.0 (#61),1695.0 (#61),1695.0 (#62),1695.0 (#65),1695.0 (#64),1695.0 (#65),1695.0 (#64),1695.0 (#67),1695.0 (#68),1695.0 (#70),1695.0 (#69),1695.0 (#75),1695.0 (#74),1695.0 (#75),1695.0 (#74),1695.0 (#76),1695.0 (#74),1695.0 (#75),1695.0 (#73),1695.0 (#73),1695.0 (#73),1695.0 (#73),1695.0 (#74),1695.0 (#77),1695.0 (#75),1695.0 (#75),1695.0 (#74),1695.0 (#75),1695.0 (#75),1695.0 (#77),1695.0 (#78),1695.0 (#81),1695.0 (#83),1695.0 (#84),1695.0 (#84),1695.0 (#87),1695.0 (#84),1695.0 (#87),1695.0 (#87),1695.0 (#86),1695.0 (#86),1695.0 (#88),1695.0 (#88),1695.0 (#93),1695.0 (#93),1695.0 (#97),1695.0 (#96)
Luka,,,,,"1792.9 (-7.1, #21)","1757.4 (-35.5, #27)",1757.4 (#27),1757.4 (#28),1757.4 (#31),1757.4 (#29),1757.4 (#32),1757.4 (#30),1757.4 (#33),1757.4 (#31),1757.4 (#34),1757.4 (#33),1757.4 (#35),1757.4 (#34),1757.4 (#36),1757.4 (#33),1757.4 (#36),1757.4 (#37),1757.4 (#38),1757.4 (#38),1757.4 (#40),1757.4 (#40),1757.4 (#40),1757.4 (#39),1757.4 (#40),1757.4 (#40),1757.4 (#41),1757.4 (#39),1757.4 (#41),1757.4 (#38),1757.4 (#44),1757.4 (#41),1757.4 (#45),1757.4 (#44),1757.4 (#46),1757.4 (#46),1757.4 (#48),1757.4 (#49),1757.4 (#52),1757.4 (#53),1757.4 (#53),1757.4 (#54),1757.4 (#57),1757.4 (#57),1757.4 (#59),1757.4 (#59),1757.4 (#59),1757.4 (#60),1757.4 (#60),1757.4 (#60),1757.4 (#60),1757.4 (#60),1757.4 (#60),1757.4 (#58),1757.4 (#59),1757.4 (#58),1757.4 (#59),1757.4 (#59),1757.4 (#59),1757.4 (#60),1757.4 (#62),1757.4 (#61),1757.4 (#65),1757.4 (#61),1757.4 (#63),1757.4 (#62),1757.4 (#65),1757.4 (#63),1757.4 (#64),1757.4 (#64),1757.4 (#64),1757.4 (#64),1757.4 (#68),1757.4 (#69),1757.4 (#73),1757.4 (#69),1757.4 (#73),1757.4 (#72)
Lukas N,,,,,,,"1836.2 (+36.2, #14)","1799.2 (-37.0, #20)",1799.2 (#20),1799.2 (#21),"1782.3 (-16.9, #27)",1782.3 (#26),"1746.3 (-36.0, #35)","1724.7 (-21.6, #37)","1780.7 (+56.0, #29)","1795.9 (+15.1, #25)","1763.2 (-32.7, #33)","1769.0 (+5.8, #30)","1773.0 (+4.0, #32)","1786.7 (+13.7, #26)",1786.7 (#27),1786.7 (#26),"1792.5 (+5.9, #25)","1775.8 (-16.7, #31)","1764.4 (-11.4, #36)","1789.2 (+24.8, #28)","1802.4 (+13.1, #26)","1780.5 (-21.8, #32)","1745.8 (-34.7, #41)","1724.0 (-21.8, #43)","1755.3 (+31.3, #42)","1734.5 (-20.8, #44)","1786.2 (+51.6, #29)","1843.1 (+57.0, #25)","1853.9 (+10.7, #25)","1850.9 (-3.0, #26)","1828.3 (-22.6, #27)","1805.1 (-23.2, #32)",1805.1 (#33),1805.1 (#33),1805.1 (#33),1805.1 (#33),"1786.3 (-18.8, #40)","1768.7 (-17.6, #48)","1797.1 (+28.4, #37)","1881.5 (+84.4, #24)","1903.5 (+22.0, #21)","1911.2 (+7.7, #15)","1841.7 (-69.6, #34)","1842.5 (+0.9, #33)","1855.5 (+13.0, #31)","1829.4 (-26.1, #34)","1795.7 (-33.7, #46)",1795.7 (#46),1795.7 (#46),1795.7 (#47),"1820.7 (+25.0, #37)","1823.5 (+2.8, #38)",1823.5 (#38),1823.5 (#37),"1847.7 (+24.2, #32)","1842.0 (-5.7, #31)",1842.0 (#31),1842.0 (#32),1842.0 (#33),1842.0 (#33),"1843.8 (+1.9, #33)","1839.4 (-4.4, #32)","1843.9 (+4.5, #31)","1844.9 (+1.0, #32)",1844.9 (#32),1844.9 (#33),"1796.0 (-49.0, #48)","1791.9 (-4.0, #50)",1791.9 (#50),1791.9 (#50),1791.9 (#52),1791.9 (#52),"1846.2 (+54.3, #35)","1982.6 (+136.4, #13)",1982.6 (#13),1982.6 (#12)
Lysandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1741.1 (-58.9, #76)","1702.4 (-38.7, #92)"
